"sicbl_vintage","sicbl_code","sicbl_nhs_code","sicbl_name","icb_code","icb_name","index","index_label","scale","avg_score","weight_pop","n_lsoa","mhclg_comparison_available"
2023,"E38000006","02P","NHS South Yorkshire ICB - 02P","E54000061","NHS South Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",30.057193,246448,148,TRUE
2023,"E38000007","99E","NHS Mid and South Essex ICB - 99E","E54000026","NHS Mid and South Essex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",19.211482,266158,160,TRUE
2023,"E38000008","02Q","NHS Nottingham and Nottinghamshire ICB - 02Q","E54000060","NHS Nottingham and Nottinghamshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",22.540448,119985,69,TRUE
2023,"E38000014","00Q","NHS Lancashire and South Cumbria ICB - 00Q","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",36.898781,155823,91,TRUE
2023,"E38000015","00R","NHS Lancashire and South Cumbria ICB - 00R","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",43.466862,141648,94,TRUE
2023,"E38000016","00T","NHS Greater Manchester ICB - 00T","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",31.410346,299153,177,TRUE
2023,"E38000021","09D","NHS Sussex ICB - 09D","E54000064","NHS Sussex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",20.265921,278370,165,TRUE
2023,"E38000024","00V","NHS Greater Manchester ICB - 00V","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",24.007768,194590,120,TRUE
2023,"E38000025","02T","NHS West Yorkshire ICB - 02T","E54000054","NHS West Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",27.582275,207660,129,TRUE
2023,"E38000028","04Y","NHS Staffordshire and Stoke-on-Trent ICB - 04Y","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",18.732647,137724,84,TRUE
2023,"E38000030","99F","NHS Mid and South Essex ICB - 99F","E54000026","NHS Mid and South Essex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",14.576086,176938,110,TRUE
2023,"E38000034","00X","NHS Lancashire and South Cumbria ICB - 00X","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",16.787316,180486,107,TRUE
