"sicbl_vintage","sicbl_code","sicbl_name","denominator","population"
2023,"E38000006","NHS South Yorkshire ICB - 02P","aged_16_59",136496
2023,"E38000006","NHS South Yorkshire ICB - 02P","children_0_15",45178
2023,"E38000006","NHS South Yorkshire ICB - 02P","older_60_plus",64774
2023,"E38000006","NHS South Yorkshire ICB - 02P","total",246448
2023,"E38000006","NHS South Yorkshire ICB - 02P","working_age_18_66",152884
2023,"E38000007","NHS Mid and South Essex ICB - 99E","aged_16_59",148767
2023,"E38000007","NHS Mid and South Essex ICB - 99E","children_0_15",53839
2023,"E38000007","NHS Mid and South Essex ICB - 99E","older_60_plus",63552
2023,"E38000007","NHS Mid and South Essex ICB - 99E","total",266158
2023,"E38000007","NHS Mid and South Essex ICB - 99E","working_age_18_66",163141
2023,"E38000008","NHS Nottingham and Nottinghamshire ICB - 02Q","aged_16_59",64159
2023,"E38000008","NHS Nottingham and Nottinghamshire ICB - 02Q","children_0_15",20870
2023,"E38000008","NHS Nottingham and Nottinghamshire ICB - 02Q","older_60_plus",34956
2023,"E38000008","NHS Nottingham and Nottinghamshire ICB - 02Q","total",119985
2023,"E38000008","NHS Nottingham and Nottinghamshire ICB - 02Q","working_age_18_66",72656
2023,"E38000014","NHS Lancashire and South Cumbria ICB - 00Q","aged_16_59",89520
2023,"E38000014","NHS Lancashire and South Cumbria ICB - 00Q","children_0_15",35362
2023,"E38000014","NHS Lancashire and South Cumbria ICB - 00Q","older_60_plus",30941
2023,"E38000014","NHS Lancashire and South Cumbria ICB - 00Q","total",155823
2023,"E38000014","NHS Lancashire and South Cumbria ICB - 00Q","working_age_18_66",95959
2023,"E38000015","NHS Lancashire and South Cumbria ICB - 00R","aged_16_59",77263
2023,"E38000015","NHS Lancashire and South Cumbria ICB - 00R","children_0_15",25015
2023,"E38000015","NHS Lancashire and South Cumbria ICB - 00R","older_60_plus",39370
2023,"E38000015","NHS Lancashire and South Cumbria ICB - 00R","total",141648
2023,"E38000015","NHS Lancashire and South Cumbria ICB - 00R","working_age_18_66",87400
2023,"E38000016","NHS Greater Manchester ICB - 00T","aged_16_59",166607
2023,"E38000016","NHS Greater Manchester ICB - 00T","children_0_15",64479
2023,"E38000016","NHS Greater Manchester ICB - 00T","older_60_plus",68067
2023,"E38000016","NHS Greater Manchester ICB - 00T","total",299153
2023,"E38000016","NHS Greater Manchester ICB - 00T","working_age_18_66",181037
2023,"E38000021","NHS Sussex ICB - 09D","aged_16_59",183243
2023,"E38000021","NHS Sussex ICB - 09D","children_0_15",41371
2023,"E38000021","NHS Sussex ICB - 09D","older_60_plus",53756
2023,"E38000021","NHS Sussex ICB - 09D","total",278370
2023,"E38000021","NHS Sussex ICB - 09D","working_age_18_66",196302
2023,"E38000024","NHS Greater Manchester ICB - 00V","aged_16_59",108297
2023,"E38000024","NHS Greater Manchester ICB - 00V","children_0_15",38881
2023,"E38000024","NHS Greater Manchester ICB - 00V","older_60_plus",47412
2023,"E38000024","NHS Greater Manchester ICB - 00V","total",194590
2023,"E38000024","NHS Greater Manchester ICB - 00V","working_age_18_66",118866
2023,"E38000025","NHS West Yorkshire ICB - 02T","aged_16_59",114475
2023,"E38000025","NHS West Yorkshire ICB - 02T","children_0_15",39812
2023,"E38000025","NHS West Yorkshire ICB - 02T","older_60_plus",53373
2023,"E38000025","NHS West Yorkshire ICB - 02T","total",207660
2023,"E38000025","NHS West Yorkshire ICB - 02T","working_age_18_66",127353
2023,"E38000028","NHS Staffordshire and Stoke-on-Trent ICB - 04Y","aged_16_59",76279
2023,"E38000028","NHS Staffordshire and Stoke-on-Trent ICB - 04Y","children_0_15",24419
2023,"E38000028","NHS Staffordshire and Stoke-on-Trent ICB - 04Y","older_60_plus",37026
2023,"E38000028","NHS Staffordshire and Stoke-on-Trent ICB - 04Y","total",137724
2023,"E38000028","NHS Staffordshire and Stoke-on-Trent ICB - 04Y","working_age_18_66",85344
