"file","role","publisher","collection_method","source","collected_utc","bytes","sha256"
"File_10_LAD_lower.xlsx","File 10 v2 - lower-tier LAD summaries (used for comparison)","MHCLG","Download","https://assets.publishing.service.gov.uk/media/6917412ebc34c86ce4e6e7fc/File_10_-_IoD2025_Local_Authority_District_Summaries__lower-tier__v2.xlsx","2026-08-04T01:04:28Z",226470,"6c38a2fd3998e0caf76a3ef8da331613d52d6d0320065ccef346103fd9770a7e"
"File_11_LAD_upper.xlsx","File 11 v2 - upper-tier LA summaries (used for comparison)","MHCLG","Download","https://assets.publishing.service.gov.uk/media/6917414ab49cc44345161802/File_11_-_IoD2025_Local_Authority_District_Summaries__upper-tier__v2.xlsx","2026-08-04T01:04:28Z",131881,"abbd376989dce7d11ca251e0c346c58e34bc18e20e77c0ff4da53104261cf54c"
"File_13_ICB_Summaries.xlsx","File 13 - ICB summaries (used for comparison)","MHCLG","Download","https://assets.publishing.service.gov.uk/media/68ff7ed00f801e57b5bef928/File_13_-_IoD2025_Integrated_Care_Board__ICB__Summaries.xlsx","2026-08-04T02:30:01Z",54159,"90cf8928c8e67c49fddb8db21367e2e354b8e49ed85cc10917bf9b3e9a8fdb8d"
"File_6_Population_Denominators.xlsx","File 6 - population denominators (all 5 bands)","MHCLG","Download","https://assets.publishing.service.gov.uk/media/691ded46513046b952c500be/File_6_IoD2025_Population_Denominators.xlsx","2026-08-04T01:13:36Z",2137125,"7a5f1c296181220d5fddb53456cb68c45b3b6b20081cc442b6063130cf20c6e5"
"File_7_IoD2025.csv","File 7 - all ranks, deciles, scores and denominators (primary input)","MHCLG","Download","https://assets.publishing.service.gov.uk/media/691ded56d140bbbaa59a2a7d/File_7_IoD2025_All_Ranks_Scores_Deciles_Population_Denominators.csv","2026-08-04T00:41:35Z",9897666,"b1b716aa2e476449f987b9de3e08255b4794eabfd270626de5de18b2f5eff3ef"
"lookup_lad24_utla24.csv","LAD 2024 to UTLA 2024 lookup (assigns the upper tier)","ONS Open Geography Portal","ONS query","https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/WD24_PCON24_LAD24_UTLA24_UK_LU/FeatureServer/0/query?where=1=1&outFields=WD24CD,LAD24CD,UTLA24CD,UTLA24NM&returnGeometry=false&orderByFields=WD24CD&f=json","2026-08-16T09:59:16Z",443583,"3f231c53a6d56ebeb663fc48a8be876282e2d2e85d1d6071e79bcde9fb1f32cd"
"lookup_lsoa21_sicbl23.csv","LSOA21 to SICBL/ICB lookup, 2023 vintage","ONS Open Geography Portal","ONS query","https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LSOA21_SICBL23_ICB23_LAD23_EN_LU/FeatureServer/0/query?where=1=1&outFields=LSOA21CD,SICBL23CD,SICBL23CDH,SICBL23NM,ICB23CD,ICB23NM&returnGeometry=false&orderByFields=LSOA21CD&f=json","2026-08-04T00:45:05Z",4516704,"028c7d2da3f64d82898b3cbd92bdedcb0deb56adb36c168c9f6a8b33fbf1e3dc"
"lookup_lsoa21_sicbl24.csv","LSOA21 to SICBL/ICB lookup, 2024 vintage","ONS Open Geography Portal","ONS query","https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LSOA21_SICBL24_ICB24_CAL24_LAD24_EN_LU/FeatureServer/0/query?where=1=1&outFields=LSOA21CD,SICBL24CD,SICBL24CDH,SICBL24NM,ICB24CD,ICB24NM&returnGeometry=false&orderByFields=LSOA21CD&f=json","2026-08-04T00:45:42Z",4516704,"21a7395dd2c15d0da7e2a579563097a034ea1decef5b25e496360e60048db500"
"lookup_lsoa21_sicbl25.csv","LSOA21 to SICBL/ICB lookup, 2025 vintage","ONS Open Geography Portal","ONS query","https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LSOA21_SICBL25_ICB25_CAL25_LAD25_EN_LU/FeatureServer/0/query?where=1=1&outFields=LSOA21CD,SICBL25CD,SICBL25CDH,SICBL25NM,ICB25CD,ICB25NM&returnGeometry=false&orderByFields=LSOA21CD&f=json","2026-08-04T00:46:18Z",4516704,"253cdb35426d55dde81f68ee63d182e2274b85088e053af8ceb40755d9d6dffd"
"lookup_lsoa21_sicbl26.csv","LSOA21 to SICBL/ICB lookup, 2026 vintage","ONS Open Geography Portal","ONS query","https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LSOA21_SICBL26_ICB26_CAL26_LAD26_EN_LU/FeatureServer/0/query?where=1=1&outFields=LSOA21CD,SICBL26CD,SICBL26CDH,SICBL26NM,ICB26CD,ICB26NM&returnGeometry=false&orderByFields=LSOA21CD&f=json","2026-08-04T00:46:55Z",4370618,"be62a0918d1a30c08f6a98f0d54bb76bf9a900dcb47ae51cd33e7d772de01563"
